SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs11733695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11940694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs1260326	2	27730940	T	C	0.40481999999999996	-0.002061	0.005737	0.7194	2.046898316581279e-6	3108
rs13107325	4	103188709	T	C	0.065445	-0.007384	0.01117	0.5086	6.669521994766052e-6	3108
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs3114045	4	100252560	T	C	0.138235	-0.01172	0.008489	0.1675	3.272593680591672e-5	2711
rs4953148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs55938136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs578102530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7682824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9607805	22	41854446	C	T	0.30648299999999995	0.002776	0.006432	0.6661	3.2759134610100215e-6	3050
