SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs6431219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13032148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7930318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs567075	11	85830157	T	C	0.3351	2e-4	0.005	0.774	1.78246392e-8	94311
rs2301274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2965101	19	45237812	C	T	0.347	0.013	0.0037	5.482e-4	7.658775799999998e-5	184801
rs8103315	19	45254168	C	A	0.8641	0.0117	0.0053	0.05092	3.2150311198200004e-5	156397.04
rs28399657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs28399664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs10412413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12610605	19	45370838	G	A	0.8549	0.0096	0.0045	0.114	2.28641568768e-5	183834.94
rs11665676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs41290120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2075650	19	45395619	A	G	0.8734	0.0554	0.0051	9.716e-26	6.787290199008002e-4	175421.02
rs77301115	19	45396973	G	A	0.97361	0.0972	0.0157	1.032e-8	4.854974370966724e-4	86278.66
rs157595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs60049679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs16979586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs8111069	19	45483438	C	A	0.3483	0.0219	0.0052	5.858e-5	2.177305756542e-4	92820
rs2004357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
