exposure,outcome,method,nsnp,b,se,pval,Signif
LOAD,mvpa,IVW,81,0.009913345286708567,0.0016263827751837677,1.0920958260903495e-9,***
LOAD,mvpa,Weighted median,81,0.011103027133713488,0.002673255446052677,3.2760999341302206e-5,***
LOAD,mvpa,MR Egger,81,0.011804574967992046,0.003309234107654025,6.167887553394901e-4,***
AAOS,mvpa,IVW,59,0.01735574675074151,0.0022284966276744575,6.8026228672926e-15,***
AAOS,mvpa,Weighted median,59,0.01777035304731003,0.003956069466064345,7.058347881741308e-6,***
AAOS,mvpa,MR Egger,59,0.014356773419526118,0.003971800358525068,6.375650345961151e-4,***
HV,mvpa,IVW,24,0.0051132786123450685,0.00883848282661323,0.5629100800957413, 
HV,mvpa,Weighted median,24,0.00815693766966654,0.012353966914031476,0.5090814126593537, 
HV,mvpa,MR Egger,24,-0.0023292776705792872,0.02396160820594235,0.9234408002771236, 
AB42,mvpa,IVW,16,-0.13675177153787535,0.020159695977775793,1.1736030279237741e-11,***
AB42,mvpa,Weighted median,16,-0.1705203131029529,0.030732171371348815,2.8797757313810066e-8,***
AB42,mvpa,MR Egger,16,-0.2118651636357454,0.050355927548617785,8.779051139183737e-4,***
Ptau,mvpa,IVW,11,0.019582023083311348,0.0222101943527236,0.37795623790470123, 
Ptau,mvpa,Weighted median,11,0.02595897738556256,0.029961732484515245,0.3862684221957347, 
Ptau,mvpa,MR Egger,11,-0.09201326978436912,0.07630369706647137,0.2586070835725664, 
Tau,mvpa,IVW,11,0.09917265876687231,0.02146220023105358,3.822525062656687e-6,***
Tau,mvpa,Weighted median,11,0.05010992889467094,0.03536010359147091,0.15644438314235076, 
Tau,mvpa,MR Egger,11,0.28764730079397577,0.09040518739572101,0.011153261355209108,*
