SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs11733695	4	100122916	A	G	0.0165	0.0702	0.2477	0.7769	1.5994200222000003e-4	4914
rs11940694	4	39414993	A	G	0.4087	-0.0535	0.0449	0.2335	0.0013834073425949996	4914
rs1260326	2	27730940	T	C	0.411	0.0357	0.0444	0.4222	6.170545294199999e-4	4914
rs13107325	4	103188709	T	C	0.0809	0.0586	0.0821	0.4756	5.106654965047999e-4	4914
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	4	100885120	T	C	0.0112	0.5158	0.6681	0.4401	0.005892765402316801	4914
rs3114045	4	100252560	T	C	0.1484	0.0417	0.0641	0.5154	4.3951293328320005e-4	4914
rs4953148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs55938136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs578102530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7682824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9607805	22	41854446	T	C	0.7393	-0.0227	0.0505	0.6529	1.9862936189580006e-4	4914
