SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs6431219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13032148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7930318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs567075	11	85830157	T	C	0.3119	0.001	0.0018	0.57	4.2923677999999996e-7	691294
rs2301274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2965101	19	45237812	T	C	0.6784	-0.0082	0.0018	3.5e-6	2.9339964211200007e-5	782036
rs8103315	19	45254168	A	C	0.1189	-0.0111	0.0026	1.6e-5	2.5815646711800003e-5	701371
rs28399657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs28399664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs10412413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12610605	19	45370838	A	G	0.1701	0.0012	0.0022	0.59	4.065580511999999e-7	773965
rs11665676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs41290120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2075650	19	45395619	A	G	0.8606	0.0244	0.0023	1.5e-25	1.4284786830079998e-4	779741
rs77301115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs157595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs60049679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs16979586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs8111069	19	45483438	A	C	0.673	0.0038	0.0019	0.043	6.35565048e-6	679834
rs2004357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
