SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N	P_GC_MA_adj
rs1260326	2	27730940	T	C	0.40481999999999996	-9e-4	0.0017	0.8965	3.90324043512e-7	55418.93	0.898532212439657
rs11940694	4	39414993	A	G	0.40515900000000005	0.0016	0.0017	0.4165	1.23394654576128e-6	55240	0.425760537281008
rs13107325	4	103188709	T	C	0.065445	0.01	0.005	0.2745	1.2232390395e-5	46316	0.284086661429376
rs6485758	11	47530024	A	G	0.304158	2e-4	0.0019	0.8805	1.693167288288e-8	52747.47	0.882842058083848
rs55938136	17	43796541	NA	NA	0.205744	-0.0013	0.0026	0.4328	5.523373138483199e-7	46649.25	NA
rs9906974	17	43827471	NA	NA	0.206468	4e-4	0.0027	0.9199	5.242846879232e-8	46414.96	NA
rs62062288	17	44088937	NA	NA	0.204296	-0.0011	0.0026	0.4448	3.9339312940928e-7	46688	NA
rs116203444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11733695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs199913382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2141284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs3114045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4953148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs56328224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs578102530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7682824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9607805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
