SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs60749569	8	42602668	T	A	0.0756698	0.0065	0.01189	0.5847	5.9102579755926195e-6	2326
rs3025327	9	136467344	C	G	0.0935017	-0.007242	0.008876	0.4146	8.890650492231067e-6	2820
rs3025388	9	136503256	G	A	0.16526	-7.042e-4	0.0074400000000000004	0.9246	1.368172983944151e-7	2450
rs7127006	11	16379226	A	G	0.27798	0.006548	0.005965	0.2724	1.7211158949867918e-5	2833
rs3866543	15	76629609	T	G	0.485109	-0.005364	0.005366	0.3176	1.4373487865231789e-5	2833
rs518425	15	78883813	G	A	0.306822	0.002383	0.005809	0.6817	2.415512824303212e-6	2822
rs56113850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6011779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6089904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9607805	22	41854446	C	T	0.30648299999999995	0.00496	0.006008	0.4091	1.0458197762727474e-5	2784
