exposure,outcome,method,nsnp,b,se,pval,Signif
alcc,LOAD,IVW,9,0.2053809228477478,0.31488475313549313,0.5142453527918074, 
alcc,LOAD,Weighted median,9,0.09804080052943959,0.43917570374124354,0.8233501104072086, 
alcc,LOAD,MR Egger,9,1.8419004118584192,1.4933178538170762,0.257222787029798, 
alcc,AAOS,IVW,11,-0.07121888748318918,0.26229769603308295,0.7859916558440309, 
alcc,AAOS,Weighted median,11,0.025610952279115924,0.3441359260510131,0.9406753705895698, 
alcc,AAOS,MR Egger,11,0.8506372213765448,1.3669891342149507,0.5492022916520463, 
alcc,ab42,IVW,9,-0.06675593528075678,0.07760057132280836,0.38965093712588644, 
alcc,ab42,Weighted median,9,-0.036054822618187723,0.10390663125137457,0.7285969469546608, 
alcc,ab42,MR Egger,9,-0.03870841890183373,0.5442621192871075,0.945290816904951, 
alcc,ptau,IVW,9,0.19872632855664987,0.10331003475257093,0.05440577838299878,.
alcc,ptau,Weighted median,9,0.21374323349388052,0.1316208201358189,0.10439036782889656, 
alcc,ptau,MR Egger,9,-0.10329190467984514,0.46685336314734405,0.831212269355713, 
alcc,tau,IVW,9,0.007201849300767271,0.10842258368025848,0.9470403541911965, 
alcc,tau,Weighted median,9,0.06556115416809286,0.14899135916367987,0.659913014962685, 
alcc,tau,MR Egger,9,-0.8761498748663541,0.49318571046090126,0.1188997472867888, 
alcc,hipv,IVW,9,-0.18167451350609304,0.1689591984321968,0.282259807457564, 
alcc,hipv,Weighted median,9,-0.16728272477190162,0.2026952679530344,0.40920599587151263, 
alcc,hipv,MR Egger,9,-0.6351707374214536,0.7824623604641868,0.44365350902083234, 
