SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs116203444	4	100068114	C	T	0.02111	5.6592	23.32	0.8083	1.3236166020134663	8223
rs11733695	4	100122916	A	G	0.005277	33.9463	23.4664	0.148	12.097737020244823	10232
rs11940694	4	39414993	A	G	0.3958	1.8847	4.6813	0.6872	1.6989123272493052	13163
rs1260326	2	27730940	T	C	0.4129	3.0961	4.7252	0.5123	4.647473452809007	12964
rs13107325	4	103188709	T	C	0.07784	-13.6708	9.7364	0.1603	26.830388581674313	13163
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs199913382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2141284	4	99704167	A	G	0.01055	42.5705	24.7297	0.08517	37.835006274160015	9237
rs3114045	4	100252560	T	C	0.1266	9.9519	6.7689	0.1415	21.902258268445813	13163
rs4953148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs55938136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs56328224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs578102530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62062288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6485758	11	47530024	A	G	0.2797	-6.4056	5.0992	0.209	16.533146262844912	13163
rs7682824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9607805	22	41854446	C	T	0.2995	-12.5194	5.4382	0.021329999999999998	65.76608555296781	13163
rs9906974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
