exposure,outcome,method,nsnp,b,se,pval,Signif
hdl,LOAD,IVW,337,0.039012144224992086,0.027205387992186275,0.15157627149836447, 
hdl,LOAD,Weighted median,337,0.05123407156367957,0.050820627167901894,0.3133894815722031, 
hdl,LOAD,MR Egger,337,-0.02902390670642108,0.05994222282944954,0.6285617191951767, 
hdl,AAOS,IVW,359,0.017269531971817825,0.024754381288468446,0.4854052553828503, 
hdl,AAOS,Weighted median,359,0.02920908835327998,0.04162419629847414,0.48284544609753294, 
hdl,AAOS,MR Egger,359,-0.02776149639798982,0.05492771058954263,0.6135766229721324, 
hdl,ab42,IVW,312,0.01135037097683071,0.007510751589890355,0.13073332540106175, 
hdl,ab42,Weighted median,312,0.015970315678805587,0.012700457162087966,0.2085871483142357, 
hdl,ab42,MR Egger,312,-3.2308204266197804e-4,0.015857002220951984,0.9837575546777382, 
hdl,ptau,IVW,330,-3.2877581401306166e-4,0.009534287658443998,0.972491582425205, 
hdl,ptau,Weighted median,330,-0.00341155396467984,0.017137294716085043,0.8422064952324507, 
hdl,ptau,MR Egger,330,0.002468390889566741,0.017687655843561148,0.8890976909665638, 
hdl,tau,IVW,314,-0.006240053474219161,0.010506591071901045,0.5525669644696999, 
hdl,tau,Weighted median,314,0.02427698359638269,0.017606685441572924,0.16794091277431095, 
hdl,tau,MR Egger,314,0.009291987142786663,0.02384477776653321,0.6970342747782534, 
hdl,hipv,IVW,345,0.0015232826840306034,0.014350374341699565,0.9154638690706417, 
hdl,hipv,Weighted median,345,-0.011252374648803668,0.024941990083447763,0.6518873428310678, 
hdl,hipv,MR Egger,345,0.015552804601388555,0.027972427578543502,0.578570064418132, 
