exposure,outcome,method,nsnp,b,se,pval,Signif
LOAD,hdl,IVW,41,-0.014882829208183127,0.006827577910945984,0.02927147666724286,*
LOAD,hdl,Weighted median,41,-0.024963846306332353,0.011767696122878361,0.0338891859650222,*
LOAD,hdl,MR Egger,41,-0.041900912587730155,0.021976054412034107,0.06395121403762406,.
AAOS,hdl,IVW,24,-0.07233369707843898,0.008246001901551591,1.7556420076938783e-18,***
AAOS,hdl,Weighted median,24,-0.09311570954847805,0.012631562960527323,1.6850412770036975e-13,***
AAOS,hdl,MR Egger,24,-0.13312976493351444,0.02565574900675948,3.3369971954424624e-5,***
HV,hdl,IVW,18,0.0256223750133601,0.022768823305369404,0.2604504293733373, 
HV,hdl,Weighted median,18,0.028760230676137668,0.03126271398818954,0.3575972679396576, 
HV,hdl,MR Egger,18,0.008697394070726326,0.07017355506572674,0.9029055266464769, 
AB42,hdl,IVW,9,0.19021080130886,0.07231347337432496,0.008529333540820673,**
AB42,hdl,Weighted median,9,0.06511893349452794,0.11906250600408923,0.5844263794332886, 
AB42,hdl,MR Egger,9,0.7647303473517322,0.4362899669351492,0.12308857575131639, 
Ptau,hdl,IVW,7,-0.16579828761112658,0.06342618522373002,0.008947978903423985,**
Ptau,hdl,Weighted median,7,-0.1339509533132259,0.08267395931137898,0.10518255668174445, 
Ptau,hdl,MR Egger,7,0.1537981709541936,0.3861952254623054,0.7068897287140954, 
Tau,hdl,IVW,11,-0.31783405614717375,0.046063823592466135,5.205284057895854e-12,***
Tau,hdl,Weighted median,11,-0.12140273046569673,0.08719397305508171,0.16382267855324897, 
Tau,hdl,MR Egger,11,-0.9632057508342661,0.32153665764248124,0.015062664979627674,*
