SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs1260326	2	27730940	T	C	0.40481999999999996	-0.005121	0.005377	0.341	1.2637170265148863e-5	2833
rs4953148	2	45152522	T	A	0.329858	0.006946	0.007083	0.3269	2.133012558728941e-5	1770
rs11940694	4	39414993	A	G	0.40515900000000005	-0.006093	0.005791	0.2928	1.7894465779746077e-5	2197
rs116203444	4	100068114	C	T	0.025038500000000002	0.01735	0.01629	0.287	1.4696865778493802e-5	2730
rs3114045	4	100252560	T	C	0.138235	0.001745	0.008062	0.8286	7.254838125839888e-7	2435
rs13107325	4	103188709	T	C	0.065445	-0.01841	0.01032	0.07447	4.1459008350355994e-5	2833
rs6485758	11	47530024	A	G	0.304158	0.003561	0.005863	0.5437	5.367645497276673e-6	2826
rs55938136	17	43795573	NA	NA	0.20579	0.009631	0.006656	0.148	3.0320222192994043e-5	2830
rs9906974	17	43830938	NA	NA	0.205775	0.009613	0.006653	0.1486	3.0205361932065494e-5	2833
rs62062288	17	44093860	NA	NA	0.205297	0.008024	0.006636	0.2267	2.100870540710683e-5	2833
rs9607805	22	41854446	C	T	0.30648299999999995	0.00496	0.006008	0.4091	1.0458197762727474e-5	2784
rs11733695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs199913382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2141284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs56328224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs578102530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7682824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
