exposure,outcome,method,nsnp,b,se,pval,Signif
LOAD,fish,IVW,81,0.010144699086863393,0.0013209918625024146,1.595766890771583e-14,***
LOAD,fish,Weighted median,81,0.011429747163546762,0.002224809969448933,2.7856000079754354e-7,***
LOAD,fish,MR Egger,81,0.012934711847500323,0.002685960644351874,6.9442966700726675e-6,***
AAOS,fish,IVW,58,0.014091059036705968,0.0018281814711849844,1.28113843729789e-14,***
AAOS,fish,Weighted median,58,0.014636153299886075,0.0033206875217359445,1.045381869039926e-5,***
AAOS,fish,MR Egger,58,0.013938218930139672,0.0037029738761489395,4.0256393592237724e-4,***
HV,fish,IVW,25,-0.008201458361030641,0.0070236582751896865,0.2429316693702288, 
HV,fish,Weighted median,25,-0.0070904295340385734,0.01084136936721878,0.5131014674042264, 
HV,fish,MR Egger,25,-0.016885386379057035,0.02488165174692363,0.5041452683817488, 
AB42,fish,IVW,15,-0.08816731543837154,0.016737722722937404,1.3823293763505308e-7,***
AB42,fish,Weighted median,15,-0.10972130102254332,0.02393535896088251,4.560169275259184e-6,***
AB42,fish,MR Egger,15,-0.18392194001934462,0.04227657175160635,7.863486441774063e-4,***
Ptau,fish,IVW,14,0.010165022768266106,0.016289459109140005,0.5326114471858159, 
Ptau,fish,Weighted median,14,3.492589332417251e-4,0.02288924184851169,0.9878258310510605, 
Ptau,fish,MR Egger,14,-0.029038935434199647,0.05469915451945655,0.6051853302459564, 
Tau,fish,IVW,11,0.08785961942896209,0.01744630893369959,4.753594705886912e-7,***
Tau,fish,Weighted median,11,0.06597834813871893,0.025904125575527733,0.010864693917971234,*
Tau,fish,MR Egger,11,0.14764138450974978,0.06244057487664342,0.04228768131128386,*
