exposure,outcome,method,nsnp,b,se,pval,Signif
LOAD,audit,IVW,85,8.241306269274918e-5,7.529449571714608e-4,0.9128421677981324, 
LOAD,audit,Weighted median,85,0.002068127905847857,0.001277124952880416,0.1053693494251955, 
LOAD,audit,MR Egger,85,0.0013062813379573974,0.0014108855019249215,0.35720341180772985, 
AAOS,audit,IVW,60,-0.004727435432813486,0.0012071300551623769,8.993317008468212e-5,***
AAOS,audit,Weighted median,60,-0.004746412682269732,0.0018601818234692219,0.010723405678258273,*
AAOS,audit,MR Egger,60,-0.004150018949673495,0.0020580546855438506,0.048388708309395435,*
HV,audit,IVW,28,0.018575909581561006,0.004497326249044866,3.620789195264811e-5,***
HV,audit,Weighted median,28,0.01752570644549428,0.007085219298805047,0.013377479362218331,*
HV,audit,MR Egger,28,0.03035709626013055,0.01581393691623738,0.06593971073021483,.
AB42,audit,IVW,16,0.035708072061253926,0.011024007991655876,0.0011989960124062931,**
AB42,audit,Weighted median,16,0.060240842768560045,0.01645081016316775,2.503741066811254e-4,***
AB42,audit,MR Egger,16,0.05739977294969299,0.03474929216341526,0.12081326995570045, 
Ptau,audit,IVW,14,-0.04647887544120356,0.01017901131272091,4.967673334990221e-6,***
Ptau,audit,Weighted median,14,-0.04123817294374292,0.015486403644620858,0.007747892656990544,**
Ptau,audit,MR Egger,14,-0.048844571689301806,0.0341348777646756,0.17797342551434753, 
Tau,audit,IVW,11,-0.03213643869228973,0.011703315262328704,0.006034035608718224,**
Tau,audit,Weighted median,11,-0.03256555529759331,0.018112789420935835,0.0721878579563983,.
Tau,audit,MR Egger,11,-0.10336859167472981,0.04950003568860693,0.0663711331851198,.
