SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs1198575	1	98562260	T	C	0.18181400000000003	0.006686	0.008001	0.4034	1.3299707994537147e-5	2660
rs13002630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs113851554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62158170	2	114082175	G	A	0.208331	0.005103	0.00701	0.4667	8.589713330141946e-6	3023
rs6439701	3	137030183	C	T	0.386141	-0.004421	0.00584	0.4491	9.26585649958546e-6	3085
rs6931466	6	19100507	G	A	0.240745	-7.61e-4	0.006499	0.9068	2.1171140089753393e-7	3100
rs12190064	6	98624142	A	G	0.2828	-0.003788	0.006137	0.5371	5.82062502737408e-6	3106
rs2006810	7	69902152	C	T	0.412642	3.633e-4	0.005841	0.9504	6.39789501725407e-8	3062
rs62508246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2416963	9	128241414	T	C	0.422913	-0.008415	0.005845	0.15	3.456452257961344e-5	3091
rs10823730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs55938136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62073146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11672103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
