exposure,outcome,method,nsnp,b,se,pval,Signif
trig,LOAD,IVW,140,-0.008688704590972986,0.03540744286213028,0.8061528927568207, 
trig,LOAD,Weighted median,140,-0.00576078366023015,0.05571078348903689,0.9176414002073906, 
trig,LOAD,MR Egger,140,0.05047930628716631,0.06539968655699616,0.44151797268675597, 
trig,AAOS,IVW,165,0.022557117848428985,0.029042436418997973,0.43733868275289906, 
trig,AAOS,Weighted median,165,-0.004290348573251846,0.04915600120049411,0.930448744244484, 
trig,AAOS,MR Egger,165,0.13457706141002315,0.058395460170736414,0.022451694261666186,*
trig,ab42,IVW,141,-0.004521161033910528,0.009407510699996952,0.6308075109979508, 
trig,ab42,Weighted median,141,0.004101010217096242,0.01609632656854008,0.7988935927167055, 
trig,ab42,MR Egger,141,0.022868765498583497,0.01938976154682288,0.2402438145211069, 
trig,ptau,IVW,150,-0.012385023779440833,0.011824249010181958,0.2949032258602616, 
trig,ptau,Weighted median,150,-0.033486480022857465,0.019329232016856848,0.08319759555745945,.
trig,ptau,MR Egger,150,-0.035604414241602086,0.020234779981607744,0.08054778366371805,.
trig,tau,IVW,144,-7.87842560779882e-4,0.012992996363287242,0.9516491494025606, 
trig,tau,Weighted median,144,-0.021517026561292223,0.02111524425660818,0.3081896414749512, 
trig,tau,MR Egger,144,-0.008866967670423123,0.03234106670009728,0.7843520038688262, 
trig,hipv,IVW,144,0.017275624277020327,0.019165316378590792,0.36737545696619184, 
trig,hipv,Weighted median,144,0.005309785786829255,0.03242689865589366,0.8699308403265463, 
trig,hipv,MR Egger,144,0.04246945254488958,0.038628777463981114,0.2734430895049051, 
