exposure,outcome,method,nsnp,b,se,pval,Signif
LOAD,trig,IVW,43,-0.006981663121043845,0.0056900175154261665,0.21982182272640363, 
LOAD,trig,Weighted median,43,-0.007164454953681697,0.010466269214259426,0.4936417772349866, 
LOAD,trig,MR Egger,43,-0.010435009409260695,0.016700209770796417,0.5355362725838921, 
AAOS,trig,IVW,20,0.06454640054238768,0.007373318556545527,2.058295329183179e-18,***
AAOS,trig,Weighted median,20,0.07489487466721544,0.009550845159349853,4.444827551853828e-15,***
AAOS,trig,MR Egger,20,0.08431160848359089,0.01331535226634747,5.752206841056585e-6,***
HV,trig,IVW,18,-0.03753598998048162,0.022328441744480634,0.09274656652019404,.
HV,trig,Weighted median,18,-0.02969549829096564,0.032820393490837874,0.3655777084597414, 
HV,trig,MR Egger,18,0.0251638874566491,0.06407571929701542,0.6997081165038868, 
AB42,trig,IVW,12,-0.22560990740242898,0.0443942163888879,3.7354788236521297e-7,***
AB42,trig,Weighted median,12,-0.22550147647511828,0.0761398429377904,0.0030597046826525676,**
AB42,trig,MR Egger,12,-0.5174295606069937,0.11879143342403478,0.001430565623779989,**
Ptau,trig,IVW,9,0.06580193651358364,0.050956766721284366,0.19658971468842745, 
Ptau,trig,Weighted median,9,-0.01734680659785007,0.07340530594234594,0.8131879128765795, 
Ptau,trig,MR Egger,9,-0.336475757323281,0.3772442773743249,0.4020480640167423, 
Tau,trig,IVW,11,0.31892363494375353,0.0448611838151021,1.1678336733927454e-12,***
Tau,trig,Weighted median,11,0.1280337402731346,0.08229885437718748,0.1197753634489922, 
Tau,trig,MR Egger,11,0.49111796540124697,0.47595455373982654,0.32906870238267694, 
