SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs11675119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs34487851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs10166461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs116351076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs114498064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs117530689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12595161	15	52922890	G	A	0.96174	0.0064	0.0092	0.5914	3.0143424430079973e-6	171526.43
rs75680843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11654699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62117160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs10402271	19	45329214	G	T	0.3404	0.0927	0.0038	2.6e-118	0.0038588656843872005	171428
rs6857	19	45392254	T	C	0.1491	0.1917	0.0084	5.12e-110	0.009324603815398203	82050
rs157595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
