SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs115141604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62313278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13115400	4	181885905	A	G	0.3466	-3e-4	0.0018	0.87	4.076431919999999e-8	689335
rs3931206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6863714	5	26965781	T	G	0.8162	0.0013	0.0023	0.58	5.070593527999999e-7	691046
rs141162384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs316339	6	2838046	A	G	0.2998	0.0012	0.0019	0.52	6.045694847999999e-7	680125
rs17207326	7	37739901	A	G	0.07764	-0.0043	0.003	0.16	2.648212884192e-6	777531
rs8000803	13	71714717	T	G	0.5918	-0.0072	0.0018	4.1e-5	2.5046263756799998e-5	691117
rs76881547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6859	19	45382034	A	G	0.4139	-0.0085	0.0017	4.6e-7	3.5053791155000004e-5	784744
rs147636938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs157580	19	45395266	A	G	0.6129	-0.0057	0.0017	0.001	1.54167382782e-5	749588
rs769449	19	45410002	A	G	0.1161	-0.0254	0.0027	2.3e-20	1.324136577528e-4	566857
rs113321260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2664588	20	46580634	T	C	0.4455	-0.0012	0.0017	0.49	7.114456799999999e-7	683749
