SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N	P_GC_MA_adj
rs1260326	2	27730940	T	C	0.40481999999999996	0.0044	0.0013	2.054e-6	9.329226521472e-6	32588	3.16715864088963e-6
rs13006480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13078384	3	85264266	A	G	0.301586	-0.0018	0.0015	0.3844	1.36489461223392e-6	29745	0.393310377230073
rs9841829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11940694	4	39414993	A	G	0.40515900000000005	5e-4	0.0013	0.2149	1.205025923595e-7	32470	0.223557754612621
rs145329623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs140184756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs193099203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2141284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs146788033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs29001570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs145452708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2298755	4	100261038	C	G	0.602202	-9e-4	0.0012	0.4004	3.8807869693752e-7	32430	0.40922584825839
rs283413	4	100268190	A	C	0.01008600000000004	0.0622	0.0605	0.3055	7.725510644251902e-5	1230	0.314589275822177
rs150848708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
