SNP	CHR	POS	Effect_allele	Non_Effect_allele	maf	EAF	Beta	SE	P	r2	N	source
rs1260326	2	27730940	C	T	0.293331	0.59518	-0.04827895009643528	0.006463054180318217	8.02e-14	1	57690	GWAS
rs13006480	2	27987221	G	C	0.161941	0.198645	0.020516429157863666	0.008449303246820115	0.0151746	0.89443	51599.7	SSIMP
rs13078384	3	85264266	A	G	0.13738	0.301586	0.002540659888972924	0.008551905297010385	0.7664	1	57690	GWAS
rs9841829	3	85569361	G	T	0.1248	0.222898	-3.6845270223259186e-4	0.009414145316662285	0.96878	0.895335	51651.9	SSIMP
rs11940694	4	39414993	G	A	0.498602	0.594841	0.010551086683047595	0.005887817481416277	0.07313	1	57690	GWAS
rs2298755	4	100261038	G	C	0.214058	0.397798	0.0012063632255516134	0.007454324959845357	0.871436	0.927109	53484.9	SSIMP
rs145329623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs140184756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs193099203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2141284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs146788033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs29001570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs145452708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs283413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs150848708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
