SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs115141604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62313278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13115400	4	181885905	G	A	0.6372	0.0013	0.005	0.7544	7.813754207999999e-7	91013
rs3931206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6863714	5	26965781	T	G	0.8153	7e-4	0.0062	0.5999	1.475741918e-7	91013
rs141162384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs316339	6	2838046	G	A	0.7098	0.0044	0.0057	0.2167	7.9756989312e-6	83003
rs17207326	7	37739901	G	A	0.92876	0.0027	0.0065	0.5861	9.646836937919996e-7	172599.32
rs8000803	13	71714717	G	T	0.4011	0.0051	0.0048	0.3025	1.2496181455800003e-5	90042
rs76881547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6859	19	45382034	A	G	0.442	0.0141	0.0035	8.101e-5	9.806740632e-5	171358.9
rs147636938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs157580	19	45395266	A	G	0.6201	0.0404	0.0042	3.396e-21	7.689954156768e-4	143112
rs769449	19	45410002	A	G	0.1201	0.0423	0.0069	3.15e-9	3.7816998429419994e-4	87395.76
rs113321260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2664588	20	46580634	T	C	0.5066	0.0048	0.0047	0.1748	1.1517992755199999e-5	89445
