SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N	P_GC_MA_adj
rs1260326	2	27730940	T	C	0.40481999999999996	-9e-4	0.0017	0.8965	3.90324043512e-7	55418.93	0.898532212439657
rs13006480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13078384	3	85264266	A	G	0.301586	2e-4	0.0019	0.9292	1.685055076832e-8	52554.99	0.930594220539673
rs9841829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11940694	4	39414993	A	G	0.40515900000000005	0.0016	0.0017	0.4165	1.23394654576128e-6	55240	0.425760537281008
rs145329623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs140184756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs193099203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2141284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs146788033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs29001570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs145452708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2298755	4	100261038	C	G	0.602202	5e-4	0.0017	0.3222	1.19777375598e-7	55205	0.331845768838611
rs283413	4	100268190	A	C	0.01008600000000004	-0.1119	0.0863	0.1961	2.5003833536194585e-4	1230	0.20507642921526
rs150848708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
