exposure,outcome,method,nsnp,b,se,pval,Signif
LOAD,diab,IVW,33,-0.02924133337961258,0.011033533883132829,0.008043848290315972,**
LOAD,diab,Weighted median,33,-0.03862498384093066,0.01899141918332355,0.04197051375834501,*
LOAD,diab,MR Egger,33,-0.05328566922972013,0.03421299558573368,0.1295108790563494, 
AAOS,diab,IVW,26,-0.04114484772448896,0.018594572508622783,0.02691597162371144,*
AAOS,diab,Weighted median,26,-0.07467462974517514,0.029097864088366572,0.010278192786866182,*
AAOS,diab,MR Egger,26,-0.17168931481648964,0.074700838883761,0.030557227548661876,*
HV,diab,IVW,19,0.017377164006062266,0.03574746856516637,0.6268899296323998, 
HV,diab,Weighted median,19,0.04114929477991418,0.055089714264978655,0.4550933844183533, 
HV,diab,MR Egger,19,0.18300675336890707,0.16812471404394785,0.2915580465763659, 
AB42,diab,IVW,10,0.2895494699602124,0.11705130056784868,0.013372299577223907,*
AB42,diab,Weighted median,10,0.4248420866207607,0.1770114121476356,0.016391353331157692,*
AB42,diab,MR Egger,10,-0.2536425087254828,0.517142009512703,0.6369702431954554, 
Ptau,diab,IVW,9,-0.17726003692590975,0.0896640447554361,0.0480489166718339,*
Ptau,diab,Weighted median,9,-0.2229213181625361,0.12253962392714264,0.06888436499463624,.
Ptau,diab,MR Egger,9,-0.1707809890631481,0.343261118266483,0.6340644004733718, 
Tau,diab,IVW,8,0.049793438463302774,0.09655882711061636,0.6060780520944513, 
Tau,diab,Weighted median,8,-0.18029051754924597,0.147783503527257,0.2224786160575383, 
Tau,diab,MR Egger,8,-0.7416802946968397,1.221800326551407,0.566072520160118, 
