exposure,outcome,method,nsnp,b,se,pval,Signif
diab,LOAD,IVW,425,0.021985925253788986,0.016037479684537954,0.17040332507682482, 
diab,LOAD,Weighted median,425,0.00557696622030922,0.027749295922234882,0.8407166719203647, 
diab,LOAD,MR Egger,425,0.03312793352742888,0.05138047650648225,0.5194340321696395, 
diab,AAOS,IVW,433,0.06530929915079245,0.013767725724393314,2.098993514191513e-6,***
diab,AAOS,Weighted median,433,0.07584846625139159,0.023936740290811182,0.0015311977610886977,**
diab,AAOS,MR Egger,433,0.1053280760382184,0.04612148009138226,0.022874321694086926,*
diab,ab42,IVW,432,0.0016002441814676027,0.004445831387898251,0.718890046741994, 
diab,ab42,Weighted median,432,0.003995082758123112,0.007065572777229594,0.5717817145685011, 
diab,ab42,MR Egger,432,-0.012246465331764659,0.01380185917643653,0.3754104650089498, 
diab,ptau,IVW,433,0.016120771721811866,0.005599408134602625,0.003989212322838902,**
diab,ptau,Weighted median,433,0.016268634778850915,0.009911343798037299,0.10071116433457199, 
diab,ptau,MR Egger,433,0.034732490843016155,0.015483686854160699,0.025393397505146326,*
diab,tau,IVW,433,0.006848965578402266,0.006181979707102033,0.26790848078205237, 
diab,tau,Weighted median,433,0.014688736659718312,0.009430384017443855,0.11932884035313583, 
diab,tau,MR Egger,433,0.02129433047258191,0.018747815726457288,0.2566589321672741, 
diab,hipv,IVW,431,-6.732299558546436e-4,0.008666065015145132,0.9380780117440779, 
diab,hipv,Weighted median,431,-0.015221981587836974,0.015420381039082345,0.32357697815456943, 
diab,hipv,MR Egger,431,-0.05398270889779084,0.025922514432557647,0.03789201562703657,*
