SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs11675119	2	3470595	C	A	0.7124	0.0028	0.0059	0.7945	3.2126162432e-6	94595
rs10166461	2	127852021	A	G	NA	0.0041	0.0064	0.3738	NA	94498
rs12595161	15	52922890	G	A	0.96174	0.0118	0.0088	0.3265	1.024699808995199e-5	185698.04
rs75680843	17	26643541	C	T	0.94723	0.0228	0.01	0.03967	5.1968744879327986e-5	93067
rs11654699	17	30904731	C	T	0.529	7e-4	0.0052	0.9781	2.4417582e-7	93067
rs10402271	19	45329214	G	T	0.3404	0.0702	0.0037	8.895e-74	0.0022129643532671998	185609
rs6857	19	45392254	T	C	0.1491	0.1641	0.0081	1.702e-86	0.0068328726247278	86277
rs157595	19	45414451	G	A	0.6201	0.0408	0.004	9.458e-23	7.842984319872001e-4	162076
rs34487851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs116351076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs114498064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs117530689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62117160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
