exposure,outcome,method,nsnp,b,se,pval,Signif
sleep,LOAD,IVW,24,-0.061992830051458954,0.1563791654681502,0.6917904915072075, 
sleep,LOAD,Weighted median,24,-0.134902228957175,0.21249852263574565,0.525533794932737, 
sleep,LOAD,MR Egger,24,0.5222927454147906,0.5910985952356668,0.38646822986575635, 
sleep,AAOS,IVW,28,-0.07726146997682834,0.13897547122161227,0.5782545951118465, 
sleep,AAOS,Weighted median,28,-0.19555129630878007,0.2197292722798133,0.373484839842795, 
sleep,AAOS,MR Egger,28,0.04397488306602997,0.5012153256680069,0.930758369830216, 
sleep,ab42,IVW,24,0.005024934370057511,0.045364757122204426,0.9118008292156217, 
sleep,ab42,Weighted median,24,0.03458175760280977,0.061613422746345785,0.5746135801101406, 
sleep,ab42,MR Egger,24,0.12200108515309678,0.16216530407858762,0.4598297702547134, 
sleep,ptau,IVW,24,-0.041652249788995205,0.055424623983548714,0.452344801225609, 
sleep,ptau,Weighted median,24,-0.0708672929308593,0.07894517916736152,0.3693576307511595, 
sleep,ptau,MR Egger,24,0.021549372090398294,0.2055784155787974,0.9174659840916092, 
sleep,tau,IVW,24,-0.05023080257659338,0.06291409426236905,0.42463665391745975, 
sleep,tau,Weighted median,24,-0.10465050370862986,0.08683469353035557,0.22813796512800322, 
sleep,tau,MR Egger,24,0.28566539628539134,0.22720288173653944,0.22182406829564388, 
sleep,hipv,IVW,28,0.11892522327299412,0.07875533621266707,0.1310283084185303, 
sleep,hipv,Weighted median,28,0.09486467582192898,0.11387785675205132,0.4048228338900432, 
sleep,hipv,MR Egger,28,0.3207481442627391,0.2463996101808128,0.20442147579471381, 
