SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs2268894	2	162856148	T	C	0.5356	0.0033	0.0017	0.056	5.4173968992e-6	686854
rs61921502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs77956314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12784431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs78587286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2289881	5	66084260	T	G	0.3545	0.0052	0.0018	0.0042	1.2375112879999997e-5	683418
rs74597467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6060507	20	34198334	A	G	0.8508	-2e-4	0.0024	0.94	1.01551488e-8	691567
rs7396827	11	28577867	T	C	0.4614	0.006	0.0017	5.8e-4	1.7892722879999997e-5	679810
rs116621170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs453084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
