SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs1198575	1	98562260	T	C	0.18181400000000003	0.005657	0.005502	0.304	9.520981444649694e-6	2665
rs13002630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs113851554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62158170	2	114082175	G	A	0.208331	0.003744	0.005025	0.4562	4.623801840999364e-6	3030
rs6439701	3	137030183	C	T	0.386141	0.005446	0.004179	0.1926	1.4060469225693318e-5	3092
rs6931466	6	19100507	G	A	0.240745	0.002627	0.004651	0.5722	2.5228711933509537e-6	3107
rs12190064	6	98624142	A	G	0.2828	-0.003857	0.004401	0.3809	6.03460654441568e-6	3113
rs2006810	7	69902152	C	T	0.412642	-0.005315	0.00418	0.2036	1.3693449089435257e-5	3069
rs62508246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2416963	9	128241414	T	C	0.422913	-6.7e-4	0.004196	0.8731	2.1911490828015183e-7	3098
rs10823730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs55938136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs76527351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62073146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11672103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
