SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N	P_GC_MA_adj
rs1260326	2	27730940	T	C	0.40481999999999996	0.0138	0.0023	8.02e-14	9.1769519563488e-5	57622.93	3.85877323380713e-13
rs11940694	4	39414993	A	G	0.40515900000000005	-0.0039	0.0023	0.07313	7.33137771915198e-6	57484	0.0815531931779326
rs13107325	4	103188709	T	C	0.065445	-0.0119	0.0061	0.03411	1.7322288038359502e-5	48514	0.0394628364300075
rs6485758	11	47530024	A	G	0.304158	0.0013	0.0024	0.9223	7.1536317930168e-7	54948.47	0.924473218577179
rs55938136	17	43796541	NA	NA	0.205744	-0.0013	0.0032	0.7146	5.523373138483199e-7	48855.25	NA
rs9906974	17	43827471	NA	NA	0.206468	-2e-4	0.0032	0.9034	1.310711719808e-8	48648.96	NA
rs62062288	17	44088937	NA	NA	0.204296	-0.0012	0.0032	0.6728	4.681703358259199e-7	48890	NA
rs116203444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11733695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs199913382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2141284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs3114045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4953148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs56328224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs578102530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7682824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9607805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
