exposure,outcome,method,nsnp,b,se,pval,Signif
LOAD,alcd,IVW,87,0.013180867106946707,0.01746898281749659,0.4505311929506552, 
LOAD,alcd,Weighted median,87,0.024141917038365587,0.028903410401708282,0.4035702729884682, 
LOAD,alcd,MR Egger,87,0.007802255391491655,0.02943821519258432,0.7916216119642508, 
AAOS,alcd,IVW,55,-5.637727019306939e-4,0.02755420627374985,0.9836760258322077, 
AAOS,alcd,Weighted median,55,-0.025766477992466588,0.04574403945865766,0.5732475769478438, 
AAOS,alcd,MR Egger,55,-0.01748894414779988,0.04310459286824043,0.6865723676113075, 
HV,alcd,IVW,28,-0.0365674186988289,0.09061479877243336,0.6865451479987286, 
HV,alcd,Weighted median,28,-0.0291921818496651,0.13479733676525205,0.8285485403167654, 
HV,alcd,MR Egger,28,-0.44337632647289776,0.26825667432460326,0.11039688080019625, 
AB42,alcd,IVW,16,0.13022475944421377,0.22881886453641048,0.5692765829909754, 
AB42,alcd,Weighted median,16,0.18906246291383746,0.33427719352496815,0.571675324124626, 
AB42,alcd,MR Egger,16,0.10439960145953568,0.5105848035155671,0.840928446962077, 
Ptau,alcd,IVW,16,0.002929342958833385,0.1975187324083931,0.9881672395635553, 
Ptau,alcd,Weighted median,16,-0.16677309767777732,0.27408962935260706,0.5428811653959013, 
Ptau,alcd,MR Egger,16,0.2045376500684909,0.5570182374368463,0.7189602266499038, 
Tau,alcd,IVW,11,0.024150408646773612,0.23244728311405197,0.9172516570937641, 
Tau,alcd,Weighted median,11,0.19520415595826707,0.31013206771858115,0.5290723763872173, 
Tau,alcd,MR Egger,11,0.4237119044642829,0.9043520402984953,0.6505491422600136, 
