SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs11733695	4	100122916	A	G	0.0159	0.3663	0.5197	0.4808	0.004198945029622201	4914
rs11940694	4	39414993	A	G	0.4078	0.0109	0.0749	0.8838	5.73850303992e-5	4914
rs1260326	2	27730940	T	C	0.4067	0.03	0.0716	0.6752	4.3433119799999995e-4	4914
rs13107325	4	103188709	T	C	0.0833	0.0305	0.1327	0.8182	1.4206984515499998e-4	4914
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	4	100885120	T	C	0.0119	1.3147	0.8926	0.1408	0.0406472512725902	4914
rs4953148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs55938136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs578102530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9607805	22	41854446	T	C	0.7368	0.0527	0.081	0.5156	0.0010771761479808	4914
