SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs1260326	2	27730940	T	C	0.40481999999999996	0.11028835389412306	0.03260126307694806	7.17124e-4	0.005861376175170394	13239
rs13006480	2	28003174	G	C	0.197151	0.15640527916413574	0.04039194767867403	1.07862e-4	0.007744005740150266	13239
rs9841829	3	85544070	G	T	0.222005	-0.008838948667204392	0.03795314699505835	0.815846	2.698800492394749e-5	13239
rs11940694	4	39414993	A	G	0.40515900000000005	-0.03583445300921607	0.03377227097967359	0.288662	6.189533823089267e-4	13239
rs2298755	4	100261038	G	C	0.397798	-0.012983927558294786	0.032934651560572493	0.693409	8.076941772119734e-5	13239
rs13078384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs145329623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs140184756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs193099203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2141284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs146788033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs29001570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs145452708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs283413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs150848708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
