SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs3009872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12404604	1	244829280	G	A	0.20425000000000004	-0.059219359659971216	0.04025039179135912	0.141217	0.0011399770868417102	13239
rs1260326	2	27730940	T	C	0.40481999999999996	0.11028835389412306	0.03260126307694806	7.17124e-4	0.005861376175170394	13239
rs57238885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13006480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs34463745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs115648382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13022438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13017956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62182116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs66664395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2326230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9812061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13078384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9841829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs77446218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12646808	4	3249828	C	T	0.337943	0.08075014968510907	0.035784526462459894	0.0240352	0.002917799896969887	13239
rs1355512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11940694	4	39414993	A	G	0.40515900000000005	-0.03583445300921607	0.03377227097967359	0.288662	6.189533823089267e-4	13239
rs7685053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs10018066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7685065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs186691688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs147071310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs145329623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs140184756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs193099203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2141284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs146788033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs29001570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs145452708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2298755	4	100261038	G	C	0.397798	-0.012983927558294786	0.032934651560572493	0.693409	8.076941772119734e-5	13239
rs283413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs150848708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs181871933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs17264946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7719574	5	25063303	A	C	0.383616	0.010247316451549499	0.03261698017407183	0.753391	4.965904475493672e-5	13239
rs55897521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs115599192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11982791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs185211959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs322819	7	127733365	A	G	0.335048	0.0038924147153438535	0.03356276803022945	0.907673	6.750959981947481e-6	13239
rs6969458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs111988120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs188917658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4734100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4316229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs79649709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs66646187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7933896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7131465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs150578239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2122692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs35566689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs117282209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs1123285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs8012947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs56938526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs114358603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs55875685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12930148	16	71459146	T	G	0.415091	-0.007024614936964466	0.03718715298426825	0.8501719999999999	2.3961095073076764e-5	13239
rs8073177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148254899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs76774888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs73215809	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
