exposure,outcome,method,nsnp,b,se,pval,Signif
mdd,LOAD,IVW,179,-0.05758175530641091,0.047533275496522975,0.22574257965260278, 
mdd,LOAD,Weighted median,179,-0.058895957810480855,0.06908865520240844,0.3939536690341698, 
mdd,LOAD,MR Egger,179,-0.003249027640773661,0.28504860558210665,0.9909186234654537, 
mdd,AAOS,IVW,184,-0.024924569386586718,0.04392367361926534,0.5704072384100614, 
mdd,AAOS,Weighted median,184,-0.05012971659389596,0.06772607507455107,0.4591887180062094, 
mdd,AAOS,MR Egger,184,-0.39863497230693606,0.2277479408538265,0.08174579566609042,.
mdd,ab42,IVW,155,-0.016586581521966275,0.012860189058153643,0.19713334969331228, 
mdd,ab42,Weighted median,155,-0.015237211179752854,0.018937130726644665,0.42103847740787603, 
mdd,ab42,MR Egger,155,0.015429507743031527,0.07720546721567803,0.8418633201016541, 
mdd,ptau,IVW,163,-0.00991745721567002,0.01680625494357895,0.5551201714657912, 
mdd,ptau,Weighted median,163,-0.006807968798372074,0.02510048990219253,0.7862152768560827, 
mdd,ptau,MR Egger,163,0.07776478516474851,0.09130665609071785,0.3956523175161536, 
mdd,tau,IVW,155,-0.01926864364449827,0.018035810319843817,0.2853605198443443, 
mdd,tau,Weighted median,155,-0.03896013903434166,0.027006907945504515,0.14913345857909202, 
mdd,tau,MR Egger,155,-0.03765979794506237,0.10585585556911464,0.7225066750646311, 
mdd,hipv,IVW,180,0.024837012946616187,0.02540311306318383,0.3282151400372375, 
mdd,hipv,Weighted median,180,-0.005245149958856407,0.036541223948392314,0.8858632328745576, 
mdd,hipv,MR Egger,180,0.10618524968562772,0.13972177461847501,0.44827409332799306, 
