SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N	P_GC_MA_adj
rs1260326	2	27730940	T	C	0.40481999999999996	0.0138	0.0023	8.02e-14	9.1769519563488e-5	57622.93	3.85877323380713e-13
rs11940694	4	39414993	A	G	0.40515900000000005	-0.0039	0.0023	0.07313	7.33137771915198e-6	57484	0.0815531931779326
rs13107325	4	103188709	T	C	0.065445	-0.0119	0.0061	0.03411	1.7322288038359502e-5	48514	0.0394628364300075
rs12224672	11	47474146	C	T	0.714306	0	0.0026	0.5758	0	54763.3	NA
rs11039364	11	47780754	T	C	0.298337	0.0547	0.0307	0.075	0.0012526805738013013	1230	NA
rs72771074	16	20019541	A	C	0.718386	0.002	0.0024	0.5024	1.6184604400320002e-6	57005	NA
rs417968	17	43728376	A	G	0.739252	0.002	0.0028	0.4325	1.542067843968e-6	56882.96	0.445522890368499
rs55938136	17	43796541	NA	NA	0.205744	-0.0013	0.0032	0.7146	5.523373138483199e-7	48855.25	NA
rs62062288	17	44088937	NA	NA	0.204296	-0.0012	0.0032	0.6728	4.681703358259199e-7	48890	NA
rs2696541	17	44351743	A	G	0.180782	-0.0012	0.0033	0.7067	4.265276212108799e-7	48813.25	0.71456276211428
rs116203444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11733695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs199441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2141284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7682824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
