exposure,outcome,IVW_nsnp,IVW_b.se,IVW_pval,MR Egger_b.se,MR Egger_pval,Weighted median_b.se,Weighted median_pval
Alcohol Consumption,AAOS,53,0.1 (0.16),0.5278,-0.32 (0.84),0.7004,-0.01 (0.26),0.9714
Alcohol Dependence,AAOS,21,-0.07 (0.03),0.0249,-0.21 (0.09),0.0268,-0.08 (0.05),0.1081
AUDIT,AAOS,65,0.05 (0.3),0.8807,-2.34 (1),0.0218,0.2 (0.47),0.6787
Depressive Symptoms,AAOS,169,-0.03 (0.18),0.8508,0.02 (0.74),0.9734,0.07 (0.26),0.7818
HDL Cholesterol,AAOS,359,0.02 (0.02),0.4854,-0.03 (0.05),0.6136,0.03 (0.04),0.4828
Insomnia,AAOS,35,-0.09 (0.05),0.0657,-0.11 (0.13),0.4174,-0.03 (0.07),0.663
LDL Cholesterol,AAOS,308,0.07 (0.02),0.002,0.05 (0.05),0.317,0 (0.04),0.98
Major Depression Disorder,AAOS,184,-0.02 (0.04),0.5704,-0.4 (0.23),0.0817,-0.05 (0.07),0.4592
Moderate to Vigorous PA,AAOS,149,0.1 (0.12),0.3918,0.92 (0.57),0.1059,0.3 (0.18),0.0878
Oily Fish Intake,AAOS,345,0.17 (0.08),0.0343,0.09 (0.32),0.7675,0.24 (0.13),0.0607
Sleep Duration,AAOS,28,-0.08 (0.14),0.5783,0.04 (0.5),0.9308,-0.2 (0.22),0.3735
Smoking Status,AAOS,735,0.13 (0.08),0.1055,0.41 (0.32),0.2021,0.22 (0.12),0.0802
Social Isolation,AAOS,130,-0.17 (0.12),0.1675,-0.77 (0.54),0.1549,-0.35 (0.19),0.0651
Total Cholesterol,AAOS,394,0.08 (0.02),0.0013,0.05 (0.06),0.3926,0 (0.04),0.9876
Triglycerides,AAOS,295,0.04 (0.03),0.1491,0.1 (0.06),0.0586,0 (0.05),0.9619
Type 2 Diabetes,AAOS,433,0.07 (0.01),0,0.11 (0.05),0.0229,0.08 (0.02),0.0015
Alcohol Consumption,ab42,NA,NA,NA,-0.19 (0.25),0.4704,-0.15 (0.08),0.0756
Alcohol Consumption,ab42,40,-0.12 (0.05),0.0159,0.03 (0.21),0.9067,-0.08 (0.08),0.2725
Alcohol Dependence,ab42,NA,NA,NA,0 (0.03),0.9868,-0.01 (0.01),0.5356
Alcohol Dependence,ab42,19,-0.01 (0.01),0.3752,-0.01 (0.03),0.747,-0.01 (0.01),0.4919
AUDIT,ab42,NA,NA,NA,-0.65 (0.3),0.0348,-0.32 (0.16),0.0497
AUDIT,ab42,45,-0.25 (0.09),0.0079,-0.54 (0.27),0.0568,-0.28 (0.14),0.0462
BMI,ab42,NA,NA,NA,0.03 (0.02),0.1868,-0.01 (0.01),0.3136
Cigarettes per day,ab42,NA,NA,NA,0.04 (0.06),0.5667,0.02 (0.04),0.6616
Depressive Symptoms,ab42,NA,NA,NA,0.9 (0.27),0.0014,0.23 (0.09),0.0142
Depressive Symptoms,ab42,147,0.31 (0.06),0,0.87 (0.23),2e-04,0.22 (0.09),0.0107
Educational Attainment,ab42,NA,NA,NA,-0.05 (0.04),0.1855,0.02 (0.02),0.2179
HDL Cholesterol,ab42,NA,NA,NA,0.02 (0.02),0.3736,0.01 (0.01),0.3145
HDL Cholesterol,ab42,312,0.01 (0.01),0.1307,0 (0.02),0.9838,0.02 (0.01),0.2086
Hearing Problems,ab42,NA,NA,NA,0.37 (0.33),0.2556,0 (0.12),0.9961
Insomnia,ab42,NA,NA,NA,-0.01 (0.06),0.8241,0.01 (0.02),0.5731
Insomnia,ab42,25,0.01 (0.01),0.5493,-0.02 (0.05),0.7028,0.02 (0.02),0.4348
LDL Cholesterol,ab42,NA,NA,NA,-0.11 (0.02),0,0 (0.01),0.795
LDL Cholesterol,ab42,292,0 (0.01),0.8715,0 (0.02),0.8881,0 (0.01),0.8086
Major Depression Disorder,ab42,NA,NA,NA,0.02 (0.08),0.7621,-0.01 (0.02),0.7091
Major Depression Disorder,ab42,155,-0.02 (0.01),0.1971,0.02 (0.08),0.8419,-0.02 (0.02),0.421
Moderate to Vigorous PA,ab42,NA,NA,NA,0.19 (0.22),0.3916,0.08 (0.06),0.1417
Moderate to Vigorous PA,ab42,111,0.13 (0.03),1e-04,0.46 (0.18),0.0128,0.1 (0.05),0.0439
Oily Fish Intake,ab42,NA,NA,NA,0.2 (0.1),0.0448,-0.03 (0.04),0.4141
Oily Fish Intake,ab42,287,0.03 (0.02),0.2329,0.28 (0.1),0.004,-0.02 (0.04),0.6855
Pulse Pressure,ab42,NA,NA,NA,0 (0),0.183,0 (0),0.054
Sleep Duration,ab42,NA,NA,NA,0.13 (0.16),0.4297,0.03 (0.06),0.5556
Sleep Duration,ab42,24,0.01 (0.05),0.9118,0.12 (0.16),0.4598,0.03 (0.06),0.5746
Smoking Status,ab42,NA,NA,NA,-0.1 (0.1),0.3345,-0.03 (0.04),0.4068
Smoking Status,ab42,588,0.02 (0.02),0.4944,-0.1 (0.1),0.2926,-0.04 (0.04),0.3306
Social Isolation,ab42,NA,NA,NA,0.04 (0.19),0.8474,0.03 (0.06),0.6079
Social Isolation,ab42,105,0.05 (0.04),0.1986,-0.02 (0.18),0.8899,0.02 (0.06),0.7701
Total Cholesterol,ab42,NA,NA,NA,-0.11 (0.02),0,0 (0.01),0.7795
Total Cholesterol,ab42,334,0.01 (0.01),0.2603,0.02 (0.02),0.2169,0 (0.01),0.6864
Triglycerides,ab42,NA,NA,NA,-0.03 (0.03),0.3387,0 (0.02),0.9485
Triglycerides,ab42,244,0 (0.01),0.6699,0.01 (0.02),0.6331,0.01 (0.01),0.7334
Type 2 Diabetes,ab42,NA,NA,NA,0 (0.01),0.7175,0.01 (0.01),0.2574
Type 2 Diabetes,ab42,432,0 (0),0.7189,-0.01 (0.01),0.3754,0 (0.01),0.5718
Alcohol Consumption,hipv,NA,NA,NA,-0.55 (0.48),0.252,-0.17 (0.14),0.2181
Alcohol Consumption,hipv,48,-0.07 (0.1),0.4808,-0.58 (0.48),0.2338,-0.17 (0.14),0.2232
Alcohol Dependence,hipv,NA,NA,NA,0 (0.04),0.943,-0.03 (0.02),0.095
