SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs6431219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13032148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7930318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs567075	11	85830157	T	C	0.3351	0.0097	0.0049	0.03622	4.1928007558200006e-5	91013
rs2301274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2965101	19	45237812	C	T	0.347	0.0026	0.0036	0.5394	3.0635103199999997e-6	175467
rs8103315	19	45254168	A	C	0.1359	0.0035	0.0051	0.4406	2.877064155e-6	146880.94
rs28399657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs28399664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs10412413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12610605	19	45370838	G	A	0.8549	0.0277	0.0044	4.42e-9	1.903584953342e-4	174495.04
rs11665676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs41290120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2075650	19	45395619	G	A	0.1266	0.0436	0.0049	2.308e-21	4.2038757108479993e-4	166072.02
rs77301115	19	45396973	A	G	0.02639	0.10780000000000001	0.015	9.499e-12	5.97161683190072e-4	80272.09
rs157595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs60049679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs16979586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs8111069	19	45483438	C	A	0.3483	0.0158	0.0051	0.001948	1.1333012428080001e-4	89485
rs2004357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
