SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N	P_GC_MA_adj
rs3009872	1	66411400	T	C	0.563751	0	0.0016	0.9106	0	55368.14	0.912357814816754
rs12404604	1	244829280	A	G	0.79575	0.0012	0.0022	0.235	4.6809198e-7	53883.51	0.24437083977077
rs1260326	2	27730940	T	C	0.40481999999999996	-9e-4	0.0017	0.8965	3.90324043512e-7	55418.93	0.898532212439657
rs57238885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13006480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs34463745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs115648382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13022438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13017956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62182116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs66664395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2326230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9812061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13078384	3	85264266	A	G	0.301586	2e-4	0.0019	0.9292	1.685055076832e-8	52554.99	0.930594220539673
rs9841829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs77446218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12646808	4	3249828	T	C	0.662057	-0.0059	0.0186	0.7515	1.557660675164462e-5	1230	0.756248939436387
rs1355512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11940694	4	39414993	A	G	0.40515900000000005	0.0016	0.0017	0.4165	1.23394654576128e-6	55240	0.425760537281008
rs7685053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs10018066	4	67961296	A	C	0.7362949999999999	0.0015	0.0019	0.6499	8.737410283875002e-7	55384.81	0.656363217525661
rs7685065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs186691688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs147071310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs145329623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs140184756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs193099203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2141284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs146788033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs29001570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs145452708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
