exposure,outcome,method,nsnp,b,se,pval,Signif
dep,LOAD,IVW,153,-0.29325978000816105,0.2191801585434662,0.18090130339598878, 
dep,LOAD,Weighted median,153,-0.10451172559764019,0.31960546343165086,0.7436661362392945, 
dep,LOAD,MR Egger,153,-0.8146882252043187,0.9399246827179862,0.38744925987194023, 
dep,AAOS,IVW,169,-0.03473163729243599,0.18460778676902997,0.8507689084683798, 
dep,AAOS,Weighted median,169,0.07266197632480034,0.26231312406813523,0.7817764735641425, 
dep,AAOS,MR Egger,169,0.02481338197290181,0.744082763072974,0.9734372110733129, 
dep,ab42,IVW,147,0.3062751939783889,0.05524416185140002,2.9559111272110022e-8,***
dep,ab42,Weighted median,147,0.2179729358074631,0.08539645347669939,0.010695834458915343,*
dep,ab42,MR Egger,147,0.8658619957859671,0.22612931479895274,1.9084026349784638e-4,***
dep,ptau,IVW,152,-0.2990636168639652,0.07222128927467777,3.4589397142106646e-5,***
dep,ptau,Weighted median,152,-0.315664370717811,0.10453456544206402,0.0025301443897577146,**
dep,ptau,MR Egger,152,-0.7052615001906318,0.2759812155609481,0.011599578851382866,*
dep,tau,IVW,147,-0.3510331111269162,0.07742955391346852,5.799216634892298e-6,***
dep,tau,Weighted median,147,-0.4087268115871603,0.11464243893528273,3.6353544102055185e-4,***
dep,tau,MR Egger,147,-1.2658550995480868,0.30598576328680527,5.93775118003161e-5,***
dep,hipv,IVW,148,0.010681800354860603,0.11953446744467164,0.9287944796726932, 
dep,hipv,Weighted median,148,0.10464880941265155,0.17199079170125567,0.5428851560071937, 
dep,hipv,MR Egger,148,1.5697436748459082,0.5151184076133761,0.00274100353841892,**
