SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs116203444	4	100068114	C	T	0.025038500000000002	0.01678	0.01263	0.1841	1.3747055393750478e-5	2999
rs11733695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11940694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs1260326	2	27730940	T	C	0.40481999999999996	0.002212	0.00411	0.5904	2.3578193663676287e-6	3115
rs13107325	4	103188709	T	C	0.065445	0.008479	0.008023	0.2907	8.794286371518994e-6	3115
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs199913382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2141284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs3114045	4	100252560	T	C	0.138235	-0.001422	0.005869	0.8085	4.817659000123422e-7	2716
rs4953148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs55938136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs56328224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs578102530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62062288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6485758	11	47530024	A	G	0.304158	-0.009727	0.004441	0.02858	4.0049556374894075e-5	3107
rs7682824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9607805	22	41854446	C	T	0.30648299999999995	-0.003764	0.004594	0.4127	6.022720742155104e-6	3058
rs9906974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
