SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N	P_GC_MA_adj
rs1260326	2	27730940	T	C	0.40481999999999996	0.0044	0.0013	2.054e-6	9.329226521472e-6	32588	3.16715864088963e-6
rs11940694	4	39414993	A	G	0.40515900000000005	5e-4	0.0013	0.2149	1.205025923595e-7	32470	0.223557754612621
rs13107325	4	103188709	T	C	0.065445	-0.0026	0.0042	0.5397	8.26909590702e-7	23792	0.547271956005124
rs6485758	11	47530024	A	G	0.304158	7e-4	0.0014	0.7194	2.0741299281528e-7	29918	0.724407454386206
rs55938136	17	43796541	NA	NA	0.205744	0.001	0.0023	0.663	3.26826812928e-7	23835	NA
rs9906974	17	43827471	NA	NA	0.206468	0.0012	0.0024	0.7407	4.718562191308799e-7	23642	NA
rs62062288	17	44088937	NA	NA	0.204296	9e-4	0.0023	0.6128	2.6334581390207997e-7	23902	NA
rs116203444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11733695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs199913382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2141284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs3114045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4953148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs56328224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs578102530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7682824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9607805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
