SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs34487851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs112833681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs73214476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62341097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs80125278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs144621483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9578438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs8037790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs28479400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs61041336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs17879437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs62117160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4803748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6857	19	45392254	T	C	0.1491	0.1641	0.0081	1.702e-86	0.0068328726247278	86277
rs157595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs142544282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
