SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs10789062	1	58914980	T	C	0.20366499999999998	-0.03448793045867319	0.04228100393301008	0.414681	3.8581265559379596e-4	13239
rs10191160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs579837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs78323057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs1229984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs3811802	4	100244221	G	A	0.45656	0.016758783814954624	0.035322231952345406	0.6351760000000001	1.3936844490948782e-4	13239
rs17028896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs894368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs147909804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs1028427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs111312143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4590429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2006682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13296886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs79171978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs9571413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs187025437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs870089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs77694582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs56328486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7240201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs8088633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs5768156	22	48314463	A	G	0.391315	0.0013990209137074087	0.03355889518148124	0.9667469999999999	9.323897794565353e-7	13239
