SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs1260326	2	27730940	T	C	0.40481999999999996	0.11028835389412306	0.03260126307694806	7.17124e-4	0.005861376175170394	13239
rs11940694	4	39414993	A	G	0.40515900000000005	-0.03583445300921607	0.03377227097967359	0.288662	6.189533823089267e-4	13239
rs12224672	11	47474146	T	C	0.285694	-0.002302649062675558	0.035892803055755186	0.9488479999999999	2.1640680905061287e-6	13239
rs72771074	16	20019541	C	A	0.281614	-0.05975000440577405	0.0369264455672139	0.105645	0.001444501444198752	13239
rs55938136	17	43813252	NA	NA	0.206437	-0.17673717850005405	0.038828643718392196	5.32087e-6	0.01023422074881231	13239
rs9906974	17	43813252	NA	NA	0.206437	-0.17673717850005405	0.038828643718392196	5.32087e-6	0.01023422074881231	13239
rs62062288	17	44088937	NA	NA	0.204296	-0.17685651736289631	0.03881366671310315	5.2e-6	0.010169123876486892	13239
rs116203444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11733695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs13107325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs144198753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs148382129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs199913382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2141284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs554894200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs578102530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7682824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
