SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs10800664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs4674842	2	224880514	T	G	0.7551	-0.0023	0.002	0.25	1.9564958142000002e-6	691746
rs6770219	3	186194398	T	C	0.2291	0.0062	0.002	0.0025	1.35780220472e-5	689135
rs35055419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7737716	5	118217474	T	C	0.1197	-0.0023	0.0026	0.38	1.1148348078e-6	689881
rs13255475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs624290	9	3928115	T	C	0.898	-0.0029	0.003	0.32	1.5406447199999995e-6	692578
rs6859	19	45382034	A	G	0.4139	-0.0085	0.0017	4.6e-7	3.5053791155000004e-5	784744
rs769449	19	45410002	A	G	0.1161	-0.0254	0.0027	2.3e-20	1.324136577528e-4	566857
rs584007	19	45416478	A	G	0.3614	0.0021	0.0019	0.27	2.0355681528e-6	530366
rs1513737	21	24166144	T	C	0.478	-2e-4	0.0018	0.93	1.996128e-8	664847
