SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs2268894	2	162856148	T	C	0.5541	0.0131	0.0052	0.022	8.48004602718e-5	89888
rs61921502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs77956314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs12784431	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs78587286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2289881	5	66084260	T	G	0.3536	0.0044	0.0054	0.3912	8.850115788800001e-6	89888
rs74597467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs6060507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs7396827	11	28577867	T	C	0.4723	0.0053	0.0053	0.3338	1.4001893647800002e-5	89838
rs116621170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs453084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
