exposure,outcome,method,nsnp,b,se,pval,Signif
sociso,LOAD,IVW,22,-0.05209231638326983,0.276329562290781,0.8504728191711306, 
sociso,LOAD,Weighted median,22,-0.21962822971261659,0.3787588172129992,0.5620069986458243, 
sociso,LOAD,MR Egger,22,1.2678901237060898,1.5140489581746357,0.41225387858806006, 
sociso,AAOS,IVW,24,-0.5772951525593214,0.2322684313775994,0.012938215928803933,*
sociso,AAOS,Weighted median,24,-0.6515468191570957,0.3317028557048643,0.049501286998158145,*
sociso,AAOS,MR Egger,24,-0.8145770850608915,1.4787468281774798,0.5872831696981535, 
sociso,ab42,IVW,19,0.019148174569786743,0.07436369945804037,0.7967977771816276, 
sociso,ab42,Weighted median,19,0.07053234072417505,0.11000954445725114,0.5214268772600714, 
sociso,ab42,MR Egger,19,1.3583953482472964,0.5529779234040739,0.025078615779252883,*
sociso,ptau,IVW,19,-0.010239602850143806,0.09821544067170272,0.9169657592406348, 
sociso,ptau,Weighted median,19,-0.022617829959673146,0.13952460804496125,0.8712220774617639, 
sociso,ptau,MR Egger,19,-1.0320586623330015,0.6985807102182653,0.1578643261079148, 
sociso,tau,IVW,19,-0.009544382281350471,0.10408885700281852,0.9269407170983742, 
sociso,tau,Weighted median,19,0.024719121854080445,0.149845707849655,0.868972451552473, 
sociso,tau,MR Egger,19,-0.130020913050191,0.8364570990419484,0.8783033228848405, 
sociso,hipv,IVW,25,-0.07389826081618102,0.1434578974175237,0.6064680537657006, 
sociso,hipv,Weighted median,25,-0.1151350390429546,0.20042818510518418,0.5656664717542246, 
sociso,hipv,MR Egger,25,0.7022156760854521,0.7646466234468234,0.3679648628206579, 
