exposure,outcome,method,nsnp,b,se,pval,Signif
LOAD,sociso,IVW,79,-0.004331917731951696,0.0013209505600447046,0.001040301740485888,**
LOAD,sociso,Weighted median,79,-0.0019546394324951514,0.0022637377334595132,0.3878864360786612, 
LOAD,sociso,MR Egger,79,-0.003696660653083631,0.00226000445794457,0.10598659512579318, 
AAOS,sociso,IVW,55,-0.0021108344377071962,0.0021058424283632925,0.3161646591669137, 
AAOS,sociso,Weighted median,55,0.0019752772783221437,0.0033321261983652586,0.5533164403528013, 
AAOS,sociso,MR Egger,55,0.0021386388752198237,0.0031875054721732343,0.5051695776767284, 
HV,sociso,IVW,27,-0.014839941674995492,0.007744842996184197,0.0553515794318522,.
HV,sociso,Weighted median,27,-0.021238820300227904,0.01159040395894236,0.06688460280190513,.
HV,sociso,MR Egger,27,-0.017625582102826356,0.02564193675605892,0.4981753642496042, 
AB42,sociso,IVW,16,-2.1126783439039988e-5,0.018685243664664675,0.9990978586612876, 
AB42,sociso,Weighted median,16,-0.006477019149650553,0.02444967536743719,0.7910770412019359, 
AB42,sociso,MR Egger,16,-0.03576112632749574,0.03691860196135698,0.3491583231031292, 
Ptau,sociso,IVW,16,0.004597681775913209,0.01636924050531544,0.7788076187116934, 
Ptau,sociso,Weighted median,16,0.010960291497243846,0.024231179495716907,0.6510371504148742, 
Ptau,sociso,MR Egger,16,0.01825400117012379,0.04483242266171566,0.6900469980928352, 
Tau,sociso,IVW,11,-0.008917112241765363,0.019903053323322747,0.654133458025871, 
Tau,sociso,Weighted median,11,-6.390240771186328e-4,0.027181708190460233,0.9812439866153185, 
Tau,sociso,MR Egger,11,-0.02618863069316913,0.05965644378175201,0.6710183645847652, 
