id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,pt,MR_PRESSO
004H5u,4js1Ip,vbiany,bmi,Inverse variance weighted (fixed effects),1588,-0.1097190494415609,0.11646643946784012,0.3461589529199384,5e-8,TRUE
004H5u,4js1Ip,vbiany,bmi,MR Egger,1588,-0.5578791096833994,0.35624472105664945,0.11754818709655217,5e-8,TRUE
004H5u,4js1Ip,vbiany,bmi,Weighted median,1588,-0.29679996846498286,0.19621330198978373,0.1303712841754545,5e-8,TRUE
004H5u,4js1Ip,vbiany,bmi,Weighted mode,1588,-0.4604000040177034,0.5512453720607645,0.40373095780447843,5e-8,TRUE
0a1RDO,ZSLVa8,ptau,smkcpd,Inverse variance weighted (fixed effects),37,-0.002382256523132487,0.037269097934942035,0.9490335899382042,5e-8,TRUE
0a1RDO,ZSLVa8,ptau,smkcpd,MR Egger,37,-0.08733770976773668,0.06829951466804896,0.2094008467157138,5e-8,TRUE
0a1RDO,ZSLVa8,ptau,smkcpd,Weighted median,37,-0.01869134883975491,0.05536570151563287,0.7356661667132489,5e-8,TRUE
0a1RDO,ZSLVa8,ptau,smkcpd,Weighted mode,37,-0.024847628929403953,0.061518854151347814,0.6886736919906595,5e-8,TRUE
0vPM7U,v2srEJ,nft4,dbp,Inverse variance weighted (fixed effects),1551,0.005811491163050595,0.008661215578125419,0.5022340991638179,5e-8,TRUE
0vPM7U,v2srEJ,nft4,dbp,MR Egger,1551,-0.03814029054772369,0.023264411038594324,0.10132753694449052,5e-8,TRUE
0vPM7U,v2srEJ,nft4,dbp,Weighted median,1551,-9.299644291014519e-4,0.0137975434039129,0.9462626920101708,5e-8,TRUE
0vPM7U,v2srEJ,nft4,dbp,Weighted mode,1551,-0.044621401255175996,0.03952740055855104,0.2591262460014499,5e-8,TRUE
167MNT,TZotpP,aaos,ldl,Inverse variance weighted (fixed effects),190,0.024129921630401677,0.025979325078381296,0.35298627014454864,5e-8,TRUE
167MNT,TZotpP,aaos,ldl,MR Egger,190,0.06227793931758034,0.060462050355175434,0.30431759778851286,5e-8,TRUE
167MNT,TZotpP,aaos,ldl,Weighted median,190,-0.0017923945905927341,0.04482676176774018,0.9681051468642949,5e-8,TRUE
167MNT,TZotpP,aaos,ldl,Weighted mode,190,-0.023634546958046787,0.04590397472173272,0.6072459653262294,5e-8,TRUE
1K4jW9,LYmLnE,vbiany,mdd,Inverse variance weighted (fixed effects),45,0.12353151792889787,0.30376567550541406,0.6842524794094784,5e-8,TRUE
1K4jW9,LYmLnE,vbiany,mdd,MR Egger,45,-1.645237864233407,1.8423833264072131,0.3768308259245896,5e-8,TRUE
1K4jW9,LYmLnE,vbiany,mdd,Weighted median,45,0.1996445547748356,0.437211579919985,0.6479359747652325,5e-8,TRUE
1K4jW9,LYmLnE,vbiany,mdd,Weighted mode,45,0.7301637806979695,1.0422359458128163,0.4872569966686522,5e-8,TRUE
1MhHb1,eYA03K,ptau,tc,Inverse variance weighted (fixed effects),221,-0.025101142561438833,0.010491055235002737,0.01672840904715632,5e-8,TRUE
1MhHb1,eYA03K,ptau,tc,MR Egger,221,-0.04175941926731458,0.022971540877808234,0.07044941242066448,5e-8,TRUE
1MhHb1,eYA03K,ptau,tc,Weighted median,221,-0.02792987939207672,0.017706196435297496,0.11470189031537227,5e-8,TRUE
1MhHb1,eYA03K,ptau,tc,Weighted mode,221,-0.032384728309483024,0.02337887301409142,0.16739013418491655,5e-8,TRUE
1TPqvE,HK3y6J,ab42,sleepdoherty,Inverse variance weighted (fixed effects),9,0.014821979298277567,0.04539213800649299,0.7440219875300929,5e-8,TRUE
