exposure,outcome,method,nsnp,b,se,pval,Signif
smkukbb,LOAD,IVW,705,-0.03778062276737487,0.08894997107528178,0.6710261221933287, 
smkukbb,LOAD,Weighted median,705,-0.11625417553218065,0.13713028001002195,0.39656916863978875, 
smkukbb,LOAD,MR Egger,705,0.9451915124680653,0.3820577122834535,0.01359792638701037,*
smkukbb,AAOS,IVW,735,0.12928148792785263,0.07986068583255275,0.10548219104105712, 
smkukbb,AAOS,Weighted median,735,0.21707710191210539,0.12407674243770832,0.08019789069135747,.
smkukbb,AAOS,MR Egger,735,0.41136514655191103,0.32221895374202625,0.20212541022415845, 
smkukbb,ab42,IVW,588,0.01655241591366775,0.024223948594916236,0.4944122910221587, 
smkukbb,ab42,Weighted median,588,-0.03798137580190053,0.03903814782064546,0.33058821274814254, 
smkukbb,ab42,MR Egger,588,-0.10413847983184596,0.09886782203929431,0.29263298408591476, 
smkukbb,ptau,IVW,631,-0.011435044222359676,0.031438762325638046,0.7160638386196099, 
smkukbb,ptau,Weighted median,631,-0.009659048804322749,0.04652040261720048,0.8355175826131847, 
smkukbb,ptau,MR Egger,631,0.12067474154087092,0.12158542036675686,0.3213304680008832, 
smkukbb,tau,IVW,588,-0.013120705066312766,0.034005816315530846,0.6996173275136632, 
smkukbb,tau,Weighted median,588,0.038049881520507874,0.050727019983850985,0.45319989517362097, 
smkukbb,tau,MR Egger,588,0.12520006787150267,0.1314993758908748,0.3414406842969999, 
smkukbb,hipv,IVW,708,-0.0263767351362522,0.047240417128568336,0.5766047113492372, 
smkukbb,hipv,Weighted median,708,-0.02562887020121,0.0713470694581904,0.7194349622803718, 
smkukbb,hipv,MR Egger,708,-0.3656993748216688,0.18761380844773984,0.05166557684208127,.
