SNP	CHR	POS	Effect_allele	Non_Effect_allele	EAF	Beta	SE	P	r2	N
rs2268894	2	162856148	T	C	0.5356	0.0033	0.0017	0.056	5.4173968992e-6	686854
rs2289881	5	66084260	T	G	0.3545	0.0052	0.0018	0.0042	1.2375112879999997e-5	683418
rs78587286	6	14270739	C	T	0.90605	0.0018	0.003	0.55	5.515996157999998e-7	678001
rs12784431	10	135038088	A	G	0.4274	0.0015	0.0018	0.39	1.10128158e-6	672030
rs7396827	11	28577867	T	C	0.4614	0.006	0.0017	5.8e-4	1.7892722879999997e-5	679810
rs453084	11	79605008	G	A	0.6629	-0.0018	0.0018	0.32	1.4480440632e-6	684445
rs77956314	12	117327592	T	C	0.8991	-0.0096	0.003	0.0013	1.6721361100799996e-5	692084
rs6060507	20	34198334	A	G	0.8508	-2e-4	0.0024	0.94	1.01551488e-8	691567
rs61921502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs74597467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs116621170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
